0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:53:16 -0300] "GET /pickup-manager/ HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:53:18 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:54:44 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:54:58 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:03 -0300] "GET /pickup-manager/oauth2client?code=f22734cb-8ae2-343b-af32-c66b1a97a187&session_state=daacaa42ae244dd051a2c703f30647c157b0fe3193ef8171663d3680bbfc36e7.kUCTTs-0dQmZY71GM4juLA HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:03 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:03 -0300] "GET /pickup-manager/index.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:08 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:09 -0300] "GET /pickup-manager/oauth2client?code=0f49b191-a4d2-30ca-8c4e-21cb124862b7&session_state=6936aead463120d8b089d1f8ddd4b1f4449f8948f82645e4bd42e5cb564f4927.cZE2G3OiDlrYwW2raGKkeQ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:09 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:09 -0300] "GET /pickup-manager/index.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/index.jsp HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/css/custom.css HTTP/1.1" 200 5317
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/css/dispatch.css HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/img/dispatch.png HTTP/1.1" 200 28144
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/img/wso2-dark.svg HTTP/1.1" 200 5196
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:16 -0300] "GET /pickup-dispatch/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:18 -0300] "POST /pickup-dispatch/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:55:47 -0300] "POST /pickup-dispatch/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:56:02 -0300] "POST /pickup-dispatch/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:57:47 -0300] "POST /pickup-dispatch/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:57:53 -0300] "GET /pickup-dispatch/oauth2client?code=807fb1f2-fc40-385a-977f-a8d845127081&session_state=b1de7274980365c074c30117914e7af0168ac8592beb09f0e46948cef6fbd648.dAktT3v-pDOPqYv1vLO7dg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:57:53 -0300] "GET /pickup-dispatch/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:57:53 -0300] "GET /pickup-dispatch/index.jsp HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:58:00 -0300] "GET /pickup-dispatch/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2020:16:58:00 -0300] "GET /pickup-dispatch/index.jsp HTTP/1.1" 200 2911
